"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.442413436E0,6.518667856E1,2.532193238E1,4.374546284E0,8.000000119E-1,1.043000031E2,1.212479210E1,1.172076988E1
3.450649165E0,6.518662077E1,2.532205624E1,-3.627905337E1,0.000000000E0,NaN,9.233759880E0,1.443051052E1
3.681428280E0,6.518671771E1,2.532189265E1,-9.549646037E0,0.000000000E0,NaN,3.790092468E0,3.777518034E0
4.681711769E0,6.518669649E1,2.532184113E1,-7.015161728E0,0.000000000E0,NaN,3.883933783E0,4.118064404E0
5.682007289E0,6.518672317E1,2.532184375E1,-4.595222256E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.682039633E0,6.518673531E1,2.532183523E1,-3.200699013E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.681494476E0,6.518673729E1,2.532183590E1,-3.107987465E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
8.682095309E0,6.518674008E1,2.532183154E1,-2.829547449E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
9.681409475E0,6.518674267E1,2.532182781E1,-2.486165787E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.068164416E1,6.518674439E1,2.532182722E1,-2.166403603E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.168170640E1,6.518674419E1,2.532182664E1,-2.365683414E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.268231328E1,6.518674471E1,2.532182677E1,-2.259543512E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.368154489E1,6.518674470E1,2.532182726E1,-2.098410587E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.468174749E1,6.518674519E1,2.532182697E1,-1.949179941E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.568139427E1,6.518674531E1,2.532182662E1,-1.829856348E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.668150140E1,6.518674554E1,2.532182643E1,-1.756614318E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.768177171E1,6.518674555E1,2.532182633E1,-1.723472255E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.868187317E1,6.518674573E1,2.532182640E1,-1.749473308E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.968147260E1,6.518674592E1,2.532182667E1,-1.786155474E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
